Comparison,t,z
ContinuousUnfamiliar-ContinuousFamiliar,-0.411484690134985,5.23
ContinuousUnfamiliar-ContinuousFamiliar,-0.398988933296453,5.285
ContinuousUnfamiliar-ContinuousFamiliar,-0.396146164809255,5.34
ContinuousUnfamiliar-ContinuousFamiliar,-0.411340532474993,5.395
ContinuousUnfamiliar-ContinuousFamiliar,-0.456826306394255,5.45
ContinuousUnfamiliar-ContinuousFamiliar,-0.484863175050451,5.505
ContinuousUnfamiliar-ContinuousFamiliar,-0.469167199104839,5.56
ContinuousUnfamiliar-ContinuousFamiliar,-0.471037982025551,5.615
ContinuousUnfamiliar-ContinuousFamiliar,-0.536260555750526,5.67
ContinuousUnfamiliar-ContinuousFamiliar,-0.523253159686785,5.725
ContinuousUnfamiliar-ContinuousFamiliar,-0.538760261740951,5.78
ContinuousUnfamiliar-ContinuousFamiliar,-0.608082731824015,5.835
ContinuousUnfamiliar-ContinuousFamiliar,-0.172600526622038,5.89
ContinuousUnfamiliar-ContinuousFamiliar,0.0299390585671561,5.945
