Comparison,t,z
IntermittentFamiliar-IntermittentUnfamiliar,-1.62978438533295,5.23
IntermittentFamiliar-IntermittentUnfamiliar,-1.54971323677402,5.285
IntermittentFamiliar-IntermittentUnfamiliar,-1.4590512819416,5.34
IntermittentFamiliar-IntermittentUnfamiliar,-1.36228399541346,5.395
IntermittentFamiliar-IntermittentUnfamiliar,-1.26307091527659,5.45
IntermittentFamiliar-IntermittentUnfamiliar,-1.16321329839635,5.505
IntermittentFamiliar-IntermittentUnfamiliar,-1.07007956693253,5.56
IntermittentFamiliar-IntermittentUnfamiliar,-0.978540547373371,5.615
IntermittentFamiliar-IntermittentUnfamiliar,-0.878605128555823,5.67
IntermittentFamiliar-IntermittentUnfamiliar,-0.769514823536233,5.725
IntermittentFamiliar-IntermittentUnfamiliar,-0.652605997916716,5.78
IntermittentFamiliar-IntermittentUnfamiliar,-0.532020627728118,5.835
IntermittentFamiliar-IntermittentUnfamiliar,-0.413533806181996,5.89
IntermittentFamiliar-IntermittentUnfamiliar,-0.295451857920198,5.945
