Comparison,t,z
ContinuousUnfamiliar-ContinuousFamiliar,0.470738316567806,5.285
ContinuousUnfamiliar-ContinuousFamiliar,0.506331624482858,5.34
ContinuousUnfamiliar-ContinuousFamiliar,0.539799066182634,5.395
ContinuousUnfamiliar-ContinuousFamiliar,0.552337479604479,5.45
ContinuousUnfamiliar-ContinuousFamiliar,0.574608845857354,5.505
ContinuousUnfamiliar-ContinuousFamiliar,0.630483604342916,5.56
ContinuousUnfamiliar-ContinuousFamiliar,0.679113026648201,5.615
ContinuousUnfamiliar-ContinuousFamiliar,0.681606327345608,5.67
ContinuousUnfamiliar-ContinuousFamiliar,0.75855211949269,5.725
ContinuousUnfamiliar-ContinuousFamiliar,0.769794568683014,5.78
ContinuousUnfamiliar-ContinuousFamiliar,0.655531288837515,5.835
ContinuousUnfamiliar-ContinuousFamiliar,0.962872530935914,5.89
ContinuousUnfamiliar-ContinuousFamiliar,1.02117171691082,5.945
