"","SubjectNo","ExpNo","DisplayMode","Familiarity","seg.z","headingErr"
"71","S_S01","Strobe","Intermittent","Unfamiliar",4.35,9.86243731651204
"72","S_S01","Strobe","Intermittent","Unfamiliar",4.405,9.85677248089872
"73","S_S01","Strobe","Intermittent","Unfamiliar",4.46,9.82993437064766
"74","S_S01","Strobe","Intermittent","Unfamiliar",4.515,9.78086356187647
"75","S_S01","Strobe","Intermittent","Unfamiliar",4.57,9.70471774091643
"76","S_S01","Strobe","Intermittent","Unfamiliar",4.625,9.58570350629234
"77","S_S01","Strobe","Intermittent","Unfamiliar",4.68,9.41757124805384
"78","S_S01","Strobe","Intermittent","Unfamiliar",4.735,9.22953197114839
"79","S_S01","Strobe","Intermittent","Unfamiliar",4.79,9.01463858638815
"80","S_S01","Strobe","Intermittent","Unfamiliar",4.845,8.75969666968827
"81","S_S01","Strobe","Intermittent","Unfamiliar",4.9,8.48260671649982
"82","S_S01","Strobe","Intermittent","Unfamiliar",4.955,8.20868426570618
"83","S_S01","Strobe","Intermittent","Unfamiliar",5.01,7.95528744693426
"84","S_S01","Strobe","Intermittent","Unfamiliar",5.065,7.73636465263007
"85","S_S01","Strobe","Intermittent","Unfamiliar",5.12,7.56315938681973
"86","S_S01","Strobe","Intermittent","Unfamiliar",5.175,7.43929165817159
"87","S_S01","Strobe","Intermittent","Unfamiliar",5.23,7.34788825273637
"88","S_S01","Strobe","Intermittent","Unfamiliar",5.285,7.2983974146558
"89","S_S01","Strobe","Intermittent","Unfamiliar",5.34,7.28879113158754
"90","S_S01","Strobe","Intermittent","Unfamiliar",5.395,7.28275556023107
"91","S_S01","Strobe","Intermittent","Unfamiliar",5.45,7.27748433866048
"92","S_S01","Strobe","Intermittent","Unfamiliar",5.505,7.25722422732238
"93","S_S01","Strobe","Intermittent","Unfamiliar",5.56,7.20382669647445
"94","S_S01","Strobe","Intermittent","Unfamiliar",5.615,7.12186008111025
"95","S_S01","Strobe","Intermittent","Unfamiliar",5.67,6.98047516647204
"96","S_S01","Strobe","Intermittent","Unfamiliar",5.725,6.79023840971778
"97","S_S01","Strobe","Intermittent","Unfamiliar",5.78,6.56649929448781
"98","S_S01","Strobe","Intermittent","Unfamiliar",5.835,6.25794835061113
"99","S_S01","Strobe","Intermittent","Unfamiliar",5.89,5.8214151021267
"100","S_S01","Strobe","Intermittent","Unfamiliar",5.945,5.17860989287172
"101","S_S03","Strobe","Intermittent","Familiar",0.5,8.06117729951628
"102","S_S03","Strobe","Intermittent","Familiar",0.555,7.57156912817316
"103","S_S03","Strobe","Intermittent","Familiar",0.61,7.23828987274361
"104","S_S03","Strobe","Intermittent","Familiar",0.665,7.02880112403134
"105","S_S03","Strobe","Intermittent","Familiar",0.72,6.92624983946333
"106","S_S03","Strobe","Intermittent","Familiar",0.775,6.87750040092501
"107","S_S03","Strobe","Intermittent","Familiar",0.83,6.85564152132983
"108","S_S03","Strobe","Intermittent","Familiar",0.885,6.85574719760494
"109","S_S03","Strobe","Intermittent","Familiar",0.94,6.8603716658666
"110","S_S03","Strobe","Intermittent","Familiar",0.995,6.86995753416942
"111","S_S03","Strobe","Intermittent","Familiar",1.05,6.87508744726471
"112","S_S03","Strobe","Intermittent","Familiar",1.105,6.87859466632974
"113","S_S03","Strobe","Intermittent","Familiar",1.16,6.88512494165717
"114","S_S03","Strobe","Intermittent","Familiar",1.215,6.87331784983263
"115","S_S03","Strobe","Intermittent","Familiar",1.27,6.84246448923861
"116","S_S03","Strobe","Intermittent","Familiar",1.325,6.80582785978323
"117","S_S03","Strobe","Intermittent","Familiar",1.38,6.74989788428836
"118","S_S03","Strobe","Intermittent","Familiar",1.435,6.67233242700109
"119","S_S03","Strobe","Intermittent","Familiar",1.49,6.57666513145221
"120","S_S03","Strobe","Intermittent","Familiar",1.545,6.46050297420869
"121","S_S03","Strobe","Intermittent","Familiar",1.6,6.33312382706974
"122","S_S03","Strobe","Intermittent","Familiar",1.655,6.19382551256336
"123","S_S03","Strobe","Intermittent","Familiar",1.71,6.02388436739957
"124","S_S03","Strobe","Intermittent","Familiar",1.765,5.8258807071825
"125","S_S03","Strobe","Intermittent","Familiar",1.82,5.6100481374737
"126","S_S03","Strobe","Intermittent","Familiar",1.875,5.37814317886525
"127","S_S03","Strobe","Intermittent","Familiar",1.93,5.15742158627158
"128","S_S03","Strobe","Intermittent","Familiar",1.985,4.93474355791398
"129","S_S03","Strobe","Intermittent","Familiar",2.04,4.69861011615918
"130","S_S03","Strobe","Intermittent","Familiar",2.095,4.47200532053387
"131","S_S03","Strobe","Intermittent","Familiar",2.15,4.25295245023686
"132","S_S03","Strobe","Intermittent","Familiar",2.205,4.06508685496661
"133","S_S03","Strobe","Intermittent","Familiar",2.26,3.8946323755525
"134","S_S03","Strobe","Intermittent","Familiar",2.315,3.72740488572159
"135","S_S03","Strobe","Intermittent","Familiar",2.37,3.59643377902176
"136","S_S03","Strobe","Intermittent","Familiar",2.425,3.48441450710039
"137","S_S03","Strobe","Intermittent","Familiar",2.48,3.38232096849227
"138","S_S03","Strobe","Intermittent","Familiar",2.535,3.30980282926063
"139","S_S03","Strobe","Intermittent","Familiar",2.59,3.25123359261223
"140","S_S03","Strobe","Intermittent","Familiar",2.645,3.20086352004348
"141","S_S03","Strobe","Intermittent","Familiar",2.7,3.1599443290879
"142","S_S03","Strobe","Intermittent","Familiar",2.755,3.1196156777389
"143","S_S03","Strobe","Intermittent","Familiar",2.81,3.0765508862099
"144","S_S03","Strobe","Intermittent","Familiar",2.865,3.02882757546874
"145","S_S03","Strobe","Intermittent","Familiar",2.92,2.97665782122502
"146","S_S03","Strobe","Intermittent","Familiar",2.975,2.91659020057836
"147","S_S03","Strobe","Intermittent","Familiar",3.03,2.84368739018792
"148","S_S03","Strobe","Intermittent","Familiar",3.085,2.7575294834304
"149","S_S03","Strobe","Intermittent","Familiar",3.14,2.66335077033785
"150","S_S03","Strobe","Intermittent","Familiar",3.195,2.55342021946151
"151","S_S03","Strobe","Intermittent","Familiar",3.25,2.42851811739445
"152","S_S03","Strobe","Intermittent","Familiar",3.305,2.30278707056676
"153","S_S03","Strobe","Intermittent","Familiar",3.36,2.16838211577108
"154","S_S03","Strobe","Intermittent","Familiar",3.415,2.03025726699067
"155","S_S03","Strobe","Intermittent","Familiar",3.47,1.90124608107155
"156","S_S03","Strobe","Intermittent","Familiar",3.525,1.76830757744619
"157","S_S03","Strobe","Intermittent","Familiar",3.58,1.63261197450201
"158","S_S03","Strobe","Intermittent","Familiar",3.635,1.49781233218567
"159","S_S03","Strobe","Intermittent","Familiar",3.69,1.37025606286779
"160","S_S03","Strobe","Intermittent","Familiar",3.745,1.26328976940911
"161","S_S03","Strobe","Intermittent","Familiar",3.8,1.15484554087013
"162","S_S03","Strobe","Intermittent","Familiar",3.855,1.05138963704311
"163","S_S03","Strobe","Intermittent","Familiar",3.91,0.966255195954909
"164","S_S03","Strobe","Intermittent","Familiar",3.965,0.888159453948284
"165","S_S03","Strobe","Intermittent","Familiar",4.02,0.825464887888296
