Comparison,t,z
ContinuousUnfamiliar-ContinuousFamiliar,1.41388594577873,5.34
ContinuousUnfamiliar-ContinuousFamiliar,1.30209614803994,5.395
ContinuousUnfamiliar-ContinuousFamiliar,1.15057423524572,5.45
ContinuousUnfamiliar-ContinuousFamiliar,1.04281922865152,5.505
ContinuousUnfamiliar-ContinuousFamiliar,0.969023445462278,5.56
ContinuousUnfamiliar-ContinuousFamiliar,0.922429589486455,5.615
ContinuousUnfamiliar-ContinuousFamiliar,0.894912581160158,5.67
ContinuousUnfamiliar-ContinuousFamiliar,0.851391947285117,5.725
ContinuousUnfamiliar-ContinuousFamiliar,0.788254123305215,5.78
ContinuousUnfamiliar-ContinuousFamiliar,0.726382580789425,5.835
ContinuousUnfamiliar-ContinuousFamiliar,0.655800867591024,5.89
ContinuousUnfamiliar-ContinuousFamiliar,0.79550410373829,5.945
