"","SubjectNo","ExpNo","DisplayMode","Familiarity","seg.z","headingErr"
"77","L_S15","Lit","NoGoggles","Familiar",4.68,3.12815445204469
"78","L_S15","Lit","NoGoggles","Familiar",4.735,3.04146484982879
"79","L_S15","Lit","NoGoggles","Familiar",4.79,2.94953438634101
"80","L_S15","Lit","NoGoggles","Familiar",4.845,2.85628077115503
"81","L_S15","Lit","NoGoggles","Familiar",4.9,2.76517801854904
"82","L_S15","Lit","NoGoggles","Familiar",4.955,2.66603387494931
"83","L_S15","Lit","NoGoggles","Familiar",5.01,2.57066672162863
"84","L_S15","Lit","NoGoggles","Familiar",5.065,2.48591022881735
"85","L_S15","Lit","NoGoggles","Familiar",5.12,2.39806326820705
"86","L_S15","Lit","NoGoggles","Familiar",5.175,2.31734967889451
"87","L_S15","Lit","NoGoggles","Familiar",5.23,2.24140441522646
"88","L_S15","Lit","NoGoggles","Familiar",5.285,2.17030377003955
"89","L_S15","Lit","NoGoggles","Familiar",5.34,2.10771802621566
"90","L_S15","Lit","NoGoggles","Familiar",5.395,2.03721051285883
"91","L_S15","Lit","NoGoggles","Familiar",5.45,1.96415634749496
"92","L_S15","Lit","NoGoggles","Familiar",5.505,1.89066972460829
"93","L_S15","Lit","NoGoggles","Familiar",5.56,1.79290703213271
"94","L_S15","Lit","NoGoggles","Familiar",5.615,1.67373350603069
"95","L_S15","Lit","NoGoggles","Familiar",5.67,1.52350256730275
"96","L_S15","Lit","NoGoggles","Familiar",5.725,1.33742414983147
"97","L_S15","Lit","NoGoggles","Familiar",5.78,1.12389877083746
"98","L_S15","Lit","NoGoggles","Familiar",5.835,0.842412751802415
"99","L_S15","Lit","NoGoggles","Familiar",5.89,0.514149085159041
"100","L_S15","Lit","NoGoggles","Familiar",5.945,0.123285182455351
"101","L_S16","Lit","NoGoggles","Familiar",0.5,6.42107319407977
"102","L_S16","Lit","NoGoggles","Familiar",0.555,6.30910240304381
"103","L_S16","Lit","NoGoggles","Familiar",0.61,6.20355499119398
"104","L_S16","Lit","NoGoggles","Familiar",0.665,6.08943323294356
