Comparison,t,z
NoGogglesUnfamiliar-NoGogglesFamiliar,0.763692708456773,5.01
NoGogglesUnfamiliar-NoGogglesFamiliar,0.7736411847186,5.065
NoGogglesUnfamiliar-NoGogglesFamiliar,0.77899415618883,5.12
NoGogglesUnfamiliar-NoGogglesFamiliar,0.783914893184958,5.175
NoGogglesUnfamiliar-NoGogglesFamiliar,0.789905738621492,5.23
NoGogglesUnfamiliar-NoGogglesFamiliar,0.795343681085776,5.285
NoGogglesUnfamiliar-NoGogglesFamiliar,0.805407536688431,5.34
NoGogglesUnfamiliar-NoGogglesFamiliar,0.816548845801774,5.395
NoGogglesUnfamiliar-NoGogglesFamiliar,0.822594825790478,5.45
NoGogglesUnfamiliar-NoGogglesFamiliar,0.826112272424377,5.505
NoGogglesUnfamiliar-NoGogglesFamiliar,0.835531610062833,5.56
NoGogglesUnfamiliar-NoGogglesFamiliar,0.850741582631161,5.615
NoGogglesUnfamiliar-NoGogglesFamiliar,0.873558161782288,5.67
NoGogglesUnfamiliar-NoGogglesFamiliar,0.903954604076676,5.725
NoGogglesUnfamiliar-NoGogglesFamiliar,0.941384907894895,5.78
NoGogglesUnfamiliar-NoGogglesFamiliar,0.980227111524454,5.835
NoGogglesUnfamiliar-NoGogglesFamiliar,1.01657309954624,5.89
NoGogglesUnfamiliar-NoGogglesFamiliar,1.03832720936287,5.945
